IAGA,GEOLON,GEOLAT,AACGMLON,AACGMLAT,STATION-NAME
TWN,146.82,-19.27,-139.27,-28.3,Townsville
AMA,129.33,28.17,-158.87,21.37,Amami-Oshima
ANC,282.85,-11.77,-5.47,0.81,Ancon
ASB,142.17,43.46,-146.31,36.73,Ashibetu
ASW,32.51,23.5,103.94,14.33,Aswan
BCL,105.71,9.3,177.32,1.53,Bac_Lieu
BKL,102.31,-3.86,173.9,-12.89,Bengkulu
CDO,124.63,8.4,-164.04,0.89,CagayanDeOro
CEB,123.91,10.36,-164.75,2.92,Cebu
CKT,145.25,-15.48,-141.49,-24.38,Cooktown
CMD,150.67,-34.06,-132.02,-43.65,Camden
DES,39.12,-6.46,110.76,-15.43,Dal Es Salaam
DRB,30.56,-29.48,96.4,-39.03,Durban
EUS,-38.43,-3.88,34.3,-3.91,Eusebio
FYM,35.5,29.18,107.05,21.96,Fayum
GSI,97.34,1.18,168.98,-7.65,Gunung Sitoli
HLN,121.55,23.9,-166.73,17.1,Hualien
HVD,91.67,48.01,164.16,43.38,Khovd
ICA,-75.75,-14.08,-4.1,-1.36,Ica
ILR,4.68,8.5,76.73,-1.25,Ilorin
JRS,-78.3,0,-6.61,12.24,Alem Ecua
JYP,140.7,2.51,-147.89,-5.28,Jayapura
KPG,123.4,-10.2,-164.81,-19.06,Kupang
